evaluation_id,batch_id,domain,complexity,true_quality
E00001,B1,opinion,complex,4
E00002,B1,factual,moderate,2
E00003,B1,technical,simple,3
E00004,B1,factual,moderate,1
E00005,B1,factual,moderate,2
E00006,B1,opinion,complex,3
E00007,B1,creative,simple,4
E00008,B1,opinion,complex,5
E00009,B1,opinion,simple,2
E00010,B1,technical,simple,4
E00011,B1,opinion,simple,1
E00012,B1,opinion,moderate,4
E00013,B1,factual,complex,4
E00014,B1,creative,moderate,3
E00015,B1,technical,simple,1
E00016,B1,factual,moderate,4
E00017,B1,opinion,complex,3
E00018,B1,creative,moderate,4
E00019,B1,technical,simple,3
E00020,B1,creative,moderate,1
E00021,B1,opinion,moderate,2
E00022,B1,opinion,simple,5
E00023,B1,opinion,simple,1
E00024,B1,opinion,moderate,2
E00025,B1,technical,complex,3
E00026,B1,opinion,moderate,4
E00027,B1,factual,simple,5
E00028,B1,factual,simple,1
E00029,B1,opinion,moderate,4
E00030,B1,creative,moderate,1
E00031,B1,opinion,moderate,1
E00032,B1,factual,moderate,3
E00033,B1,technical,moderate,2
E00034,B1,creative,simple,2
E00035,B1,factual,complex,1
E00036,B1,factual,moderate,5
E00037,B1,factual,complex,2
E00038,B1,factual,moderate,4
E00039,B1,opinion,simple,3
E00040,B1,technical,complex,1
E00041,B1,technical,simple,3
E00042,B1,creative,moderate,2
E00043,B1,creative,complex,1
E00044,B1,technical,moderate,4
E00045,B1,creative,moderate,3
E00046,B1,technical,moderate,3
E00047,B1,creative,moderate,1
E00048,B1,opinion,moderate,1
E00049,B1,technical,simple,2
E00050,B1,creative,moderate,1
E00051,B1,opinion,complex,1
E00052,B1,opinion,simple,3
E00053,B1,creative,simple,3
E00054,B1,technical,moderate,5
E00055,B1,factual,simple,4
E00056,B1,factual,moderate,3
E00057,B1,factual,moderate,5
E00058,B1,creative,simple,3
E00059,B1,opinion,moderate,2
E00060,B1,opinion,simple,3
E00061,B1,factual,complex,5
E00062,B1,creative,moderate,1
E00063,B1,factual,moderate,1
E00064,B1,technical,moderate,2
E00065,B1,creative,complex,4
E00066,B1,factual,complex,1
E00067,B1,opinion,simple,2
E00068,B1,technical,moderate,3
E00069,B1,factual,complex,5
E00070,B1,opinion,complex,2
E00071,B1,creative,moderate,2
E00072,B1,opinion,complex,2
E00073,B1,technical,simple,1
E00074,B1,factual,complex,3
