rating_id,evaluation_id,rater_id,batch_id,rating,rated_at
RT000001,E00001,R010,B1,4,2026-03-02 00:15:11.802367
RT000002,E00001,R002,B1,4,2026-03-02 00:28:11.802367
RT000003,E00001,R012,B1,4,2026-03-02 00:55:11.802367
RT000004,E00002,R009,B1,2,2026-03-02 01:38:52.408792
RT000005,E00002,R002,B1,2,2026-03-02 02:45:52.408792
RT000006,E00002,R006,B1,3,2026-03-02 04:36:52.408792
RT000007,E00003,R008,B1,4,2026-03-02 03:48:27.796517
RT000008,E00003,R004,B1,3,2026-03-02 04:09:27.796517
RT000009,E00003,R009,B1,2,2026-03-02 06:44:27.796517
RT000010,E00004,R009,B1,1,2026-03-02 06:41:40.436457
RT000011,E00004,R012,B1,1,2026-03-02 07:42:40.436457
RT000012,E00004,R006,B1,1,2026-03-02 08:55:40.436457
RT000013,E00005,R012,B1,2,2026-03-02 08:41:33.232838
RT000014,E00005,R002,B1,2,2026-03-02 10:08:33.232838
RT000015,E00005,R006,B1,2,2026-03-02 09:37:33.232838
RT000016,E00006,R004,B1,3,2026-03-02 11:09:48.436545
RT000017,E00006,R012,B1,3,2026-03-02 11:29:48.436545
RT000018,E00006,R009,B1,3,2026-03-02 12:29:48.436545
RT000019,E00007,R009,B1,4,2026-03-02 12:33:25.950065
RT000020,E00007,R005,B1,4,2026-03-02 13:45:25.950065
RT000021,E00007,R008,B1,4,2026-03-02 14:31:25.950065
RT000022,E00008,R010,B1,5,2026-03-02 15:21:16.076952
RT000023,E00008,R012,B1,5,2026-03-02 16:04:16.076952
RT000024,E00008,R011,B1,4,2026-03-02 17:29:16.076952
RT000025,E00009,R006,B1,3,2026-03-02 18:13:15.741953
RT000026,E00009,R003,B1,2,2026-03-02 19:15:15.741953
RT000027,E00009,R008,B1,2,2026-03-02 18:57:15.741953
RT000028,E00010,R002,B1,4,2026-03-02 20:26:55.791907
RT000029,E00010,R006,B1,5,2026-03-02 20:53:55.791907
RT000030,E00010,R011,B1,4,2026-03-02 23:12:55.791907
RT000031,E00011,R011,B1,1,2026-03-02 22:56:29.113161
RT000032,E00011,R009,B1,1,2026-03-03 00:20:29.113161
RT000033,E00011,R012,B1,1,2026-03-03 00:46:29.113161
RT000034,E00012,R006,B1,3,2026-03-03 00:39:34.421523
RT000035,E00012,R002,B1,4,2026-03-03 02:02:34.421523
RT000036,E00012,R008,B1,4,2026-03-03 03:33:34.421523
RT000037,E00013,R005,B1,4,2026-03-03 03:17:06.492482
RT000038,E00013,R002,B1,4,2026-03-03 03:34:06.492482
RT000039,E00013,R010,B1,3,2026-03-03 05:49:06.492482
RT000040,E00014,R011,B1,3,2026-03-03 05:34:28.650864
RT000041,E00014,R002,B1,3,2026-03-03 06:01:28.650864
RT000042,E00014,R005,B1,3,2026-03-03 05:46:28.650864
RT000043,E00015,R007,B1,1,2026-03-03 06:50:24.517768
RT000044,E00015,R002,B1,1,2026-03-03 07:07:24.517768
RT000045,E00015,R004,B1,1,2026-03-03 07:10:24.517768
RT000046,E00016,R002,B1,4,2026-03-03 08:05:41.082048
RT000047,E00016,R004,B1,4,2026-03-03 08:53:41.082048
RT000048,E00016,R003,B1,4,2026-03-03 09:37:41.082048
RT000049,E00017,R004,B1,4,2026-03-03 10:25:02.402190
RT000050,E00017,R007,B1,4,2026-03-03 11:33:02.402190
RT000051,E00017,R011,B1,3,2026-03-03 12:49:02.402190
RT000052,E00018,R002,B1,3,2026-03-03 13:05:22.785068
RT000053,E00018,R007,B1,5,2026-03-03 13:34:22.785068
RT000054,E00018,R003,B1,5,2026-03-03 13:09:22.785068
RT000055,E00019,R010,B1,4,2026-03-03 16:27:29.970952
RT000056,E00019,R004,B1,3,2026-03-03 17:15:29.970952
RT000057,E00019,R012,B1,3,2026-03-03 16:53:29.970952
RT000058,E00020,R012,B1,1,2026-03-03 17:26:52.089092
RT000059,E00020,R002,B1,1,2026-03-03 18:31:52.089092
RT000060,E00020,R001,B1,1,2026-03-03 20:16:52.089092
RT000061,E00021,R007,B1,2,2026-03-03 20:00:17.373554
RT000062,E00021,R001,B1,2,2026-03-03 20:14:17.373554
RT000063,E00021,R011,B1,1,2026-03-03 21:20:17.373554
RT000064,E00022,R009,B1,5,2026-03-03 21:34:22.679722
RT000065,E00022,R004,B1,5,2026-03-03 22:38:22.679722
RT000066,E00022,R005,B1,5,2026-03-03 23:36:22.679722
RT000067,E00023,R007,B1,1,2026-03-04 00:50:00.612601
RT000068,E00023,R004,B1,1,2026-03-04 01:13:00.612601
RT000069,E00023,R003,B1,1,2026-03-04 01:28:00.612601
RT000070,E00024,R008,B1,3,2026-03-04 02:04:36.958395
RT000071,E00024,R007,B1,2,2026-03-04 02:17:36.958395
RT000072,E00024,R001,B1,2,2026-03-04 04:10:36.958395
RT000073,E00025,R004,B1,3,2026-03-04 04:51:59.398631
RT000074,E00025,R007,B1,4,2026-03-04 05:45:59.398631
RT000075,E00025,R005,B1,2,2026-03-04 05:37:59.398631
RT000076,E00026,R005,B1,3,2026-03-04 06:33:31.354648
RT000077,E00026,R003,B1,4,2026-03-04 07:03:31.354648
RT000078,E00026,R008,B1,5,2026-03-04 07:31:31.354648
RT000079,E00027,R003,B1,5,2026-03-04 10:03:25.388460
RT000080,E00027,R011,B1,5,2026-03-04 10:09:25.388460
